               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089215,            0.062007,            0.049018,            0.089384,            0.037888,           0.0032768,           0.0015809,            0.088729,            0.075243,             0.04948,               7e-05,               7e-05,             0.09937
                   1,            0.092587,            0.069507,            0.050971,             0.17511,            0.033051,           0.0066088,           0.0021139,            0.087102,            0.071251,            0.048515,          0.00014999,          0.00014999,             0.09865
                   2,            0.096526,            0.073696,            0.052535,             0.67624,           0.0098039,           0.0022818,          0.00047712,            0.085863,            0.066597,            0.047921,          0.00022995,          0.00022995,             0.09793
                   3,            0.084235,            0.065794,            0.046388,             0.59405,            0.014706,           0.0024553,          0.00047864,            0.084728,            0.063666,            0.047321,          0.00030985,          0.00030985,             0.09721
                   4,            0.091313,            0.067016,            0.050303,              0.5069,           0.0098039,           0.0011531,          0.00014927,            0.084515,            0.058079,             0.04701,          0.00038965,          0.00038965,             0.09649
                   5,             0.08051,            0.062291,            0.044992,             0.41987,             0.02504,           0.0019955,          0.00032492,            0.083763,            0.056679,            0.046408,          0.00046935,          0.00046935,            0.095769
                   6,            0.077134,            0.061705,            0.044437,             0.42597,            0.036152,           0.0042951,           0.0012168,            0.082055,            0.059468,            0.045369,           0.0005489,           0.0005489,            0.095049
                   7,            0.072821,            0.060417,            0.044137,              0.5205,            0.066282,            0.013536,           0.0024826,            0.075901,            0.064275,            0.043886,          0.00062829,          0.00062829,            0.094328
                   8,             0.07534,            0.057552,            0.044992,              0.5216,            0.081637,            0.018871,           0.0040242,            0.072182,            0.064249,             0.04293,          0.00070748,          0.00070748,            0.093607
                   9,            0.067416,            0.056288,            0.043063,            0.043345,              0.2656,            0.057136,            0.010519,            0.068268,            0.062784,            0.041969,          0.00078645,          0.00078645,            0.092886
                  10,            0.076246,            0.058125,            0.045317,             0.30269,             0.13995,            0.045596,            0.013213,            0.066672,            0.066427,            0.041262,          0.00086518,          0.00086518,            0.092165
                  11,            0.068412,            0.055954,            0.043308,             0.39737,             0.19249,            0.077322,            0.027311,            0.061389,             0.06346,            0.040584,          0.00094363,          0.00094363,            0.091444
                  12,            0.066895,            0.059242,            0.042593,             0.86137,            0.050551,            0.066404,            0.025932,            0.063136,            0.063995,            0.040228,           0.0010218,           0.0010218,            0.090722
                  13,            0.071287,            0.056622,            0.042461,             0.64213,             0.13903,            0.058855,            0.020675,            0.061188,            0.062221,            0.040016,           0.0010996,           0.0010996,                0.09
                  14,            0.059502,            0.056095,            0.041126,             0.37824,             0.15983,            0.053802,             0.01119,            0.059685,            0.063265,            0.039746,           0.0011771,           0.0011771,            0.089277
                  15,            0.060378,            0.057465,            0.040776,             0.40626,             0.20717,            0.086772,            0.026789,            0.055342,            0.061857,            0.039475,           0.0012542,           0.0012542,            0.088554
                  16,            0.059347,            0.060149,            0.040624,             0.31557,             0.23238,            0.082995,             0.02973,             0.05677,            0.062068,            0.039279,           0.0013309,           0.0013309,            0.087831
                  17,            0.064882,            0.054041,            0.040794,             0.31946,              0.1462,            0.068136,            0.014573,            0.060317,            0.060877,            0.039097,           0.0014072,           0.0014072,            0.087107
                  18,            0.065501,            0.056324,            0.040717,             0.41278,             0.24089,             0.10777,            0.041865,            0.053915,            0.061717,            0.038905,            0.001483,            0.001483,            0.086383
                  19,            0.058827,             0.05535,            0.040299,             0.30959,             0.27685,             0.10249,            0.041858,            0.054437,            0.061448,             0.03873,           0.0015584,           0.0015584,            0.085658
