               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086713,            0.010925,            0.047313,             0.25099,           0.0052083,          9.8604e-05,          9.8604e-06,            0.032567,           0.0060271,            0.018521,             0.00032,             0.00032,             0.09712
                   1,            0.079824,           0.0096198,            0.044478,            0.083515,           0.0052083,          3.4142e-05,          9.4439e-06,            0.030292,           0.0043717,            0.017493,          0.00064986,          0.00064986,             0.09415
                   2,            0.071912,            0.010138,            0.041243,            0.083414,           0.0052083,          7.9086e-05,          1.6546e-05,            0.026911,           0.0035375,            0.016397,          0.00097913,          0.00097913,            0.091179
                   3,            0.063385,            0.010664,            0.039541,             0.16689,            0.020833,          0.00019855,          4.7513e-05,            0.025688,            0.003202,            0.015965,           0.0013074,           0.0013074,            0.088207
                   4,            0.061692,            0.010484,            0.039995,              0.5838,           0.0052083,          0.00047954,          8.9258e-05,            0.023169,           0.0032258,            0.015451,           0.0016342,           0.0016342,            0.085234
                   5,            0.057139,             0.01092,            0.038381,             0.58438,            0.020833,          0.00059776,          0.00016665,             0.02307,           0.0034535,            0.014819,           0.0019591,           0.0019591,            0.082259
                   6,            0.052793,            0.010165,             0.03693,             0.33413,              0.0625,          0.00052725,          0.00011471,            0.024258,           0.0026578,            0.014455,           0.0022817,           0.0022817,            0.079282
                   7,            0.053682,            0.011172,            0.036664,             0.50311,            0.026042,           0.0021785,          0.00081378,            0.021569,           0.0032431,            0.013833,           0.0026015,           0.0026015,            0.076301
                   8,            0.053776,           0.0095877,            0.035558,             0.50067,            0.015625,          0.00041427,          7.1159e-05,            0.026469,           0.0031357,            0.013994,           0.0029182,           0.0029182,            0.073318
                   9,            0.050444,           0.0093715,            0.033194,             0.42168,             0.03125,           0.0029203,           0.0011831,            0.025581,           0.0022682,            0.012995,           0.0032312,           0.0032312,            0.070331
                  10,            0.052039,           0.0098002,            0.032689,             0.42523,              0.0625,           0.0048992,           0.0016662,            0.020945,           0.0028732,            0.012093,           0.0035403,           0.0035403,             0.06734
                  11,            0.049944,            0.010602,            0.032426,             0.42631,             0.09375,            0.010506,           0.0048908,            0.024582,           0.0027473,            0.011631,           0.0038449,           0.0038449,            0.064345
                  12,            0.050041,           0.0087114,            0.029749,             0.67104,            0.010417,           0.0037695,           0.0015727,            0.022537,           0.0023756,            0.012215,           0.0041447,           0.0041447,            0.061345
                  13,            0.048217,            0.011153,            0.029406,             0.61494,            0.041667,            0.012481,           0.0076131,            0.019933,           0.0035369,            0.010885,           0.0044394,           0.0044394,            0.058339
                  14,            0.049248,           0.0093395,            0.029004,             0.42402,             0.13291,           0.0064226,           0.0031535,            0.019891,           0.0025665,            0.010483,           0.0047284,           0.0047284,            0.055328
                  15,            0.051855,           0.0094944,            0.028862,             0.50897,            0.088542,           0.0083143,           0.0049479,            0.020581,           0.0030697,            0.010459,           0.0050115,           0.0050115,            0.052312
                  16,            0.050531,           0.0094444,            0.027618,             0.42389,             0.20833,           0.0075675,           0.0032687,            0.019454,           0.0023407,            0.010373,           0.0052883,           0.0052883,            0.049288
                  17,            0.049263,           0.0092776,            0.027201,             0.70702,            0.015625,              0.0105,           0.0052202,            0.021703,           0.0025678,           0.0099679,           0.0055584,           0.0055584,            0.046258
                  18,            0.049132,           0.0087084,             0.02714,             0.16981,              0.1875,           0.0045784,           0.0027252,            0.020282,            0.002074,             0.01038,           0.0058215,           0.0058215,            0.043221
                  19,            0.047812,           0.0088832,            0.027714,             0.51068,            0.072917,            0.007545,           0.0031243,            0.019961,           0.0030207,            0.010065,           0.0060772,           0.0060772,            0.040177
                  20,            0.048765,            0.010184,            0.027502,             0.42283,             0.21875,           0.0082836,           0.0035166,            0.020232,           0.0028395,           0.0097551,           0.0063253,           0.0063253,            0.037125
                  21,            0.048244,           0.0078657,            0.026524,              0.3408,             0.24479,            0.010613,           0.0037442,            0.020433,           0.0022461,           0.0097793,           0.0065654,           0.0065654,            0.034065
                  22,            0.045628,            0.010312,            0.025568,             0.43001,            0.046875,            0.010262,           0.0055592,            0.018514,           0.0030886,           0.0094446,           0.0067972,           0.0067972,            0.030997
